Name,Category,Date,City,Type,Estimated Cost (JPY),Estimated Cost (AUD),Payment Method,Status,Linked Days,Notes
Shibuya Sky tickets,Experiences,2025-11-22,Tokyo,Viewpoint,"¥11,000",A$104.76,Online,To Book,Day 9,17:00 sunset slot for 5 (including James).
Tokyo DisneySea + Premier Access,Experiences,2025-11-24,Tokyo,Theme Park,"¥60,000",A$571.43,Online,To Book,Day 11,Two passports + Premier Access for Soaring & Journey + Toy Story Mania.
Disney Ambassador Hyperion Lounge tea,Food & Drink,2025-11-24,Tokyo,Tea Service,"¥16,000",A$152.38,Credit Card,To Book,Day 11,Afternoon tea for four with birthday plating.
Universal Studios Japan tickets + Express 7,Experiences,2025-11-27,Osaka,Theme Park,"¥104,000",A$990.48,Online,To Book,Day 14,Pair with Super Nintendo timed entry + Kinopio’s Café lunch.
Arima Onsen Taiko-no-yu passes,Experiences,2025-11-26,Kobe,Wellness,"¥8,000",A$76.19,Cash,To Pay,Day 13,Includes private tatami lounge upgrade.
Karaoke Kan Shibuya session,Nightlife,2025-11-23,Tokyo,Entertainment,"¥18,000",A$171.43,Credit Card,To Book,Day 10,3-hour all-you-can-drink plan for four.
Karaoke Kan Shinsaibashi VIP,Nightlife,2025-11-28,Osaka,Entertainment,"¥24,000",A$228.57,Credit Card,To Book,Day 15,3-hour premium room with open bar + props.
MYDO Teppanyaki birthday dinner,Food & Drink,2025-11-28,Osaka,Fine Dining,"¥60,000",A$571.43,Credit Card,To Book,Day 15,Set menu for four + dessert sparkler.
Bar Nayuta celebration cocktails,Nightlife,2025-11-28,Osaka,Cocktail Bar,"¥16,000",A$152.38,Credit Card,Budget,Day 15,Custom drink “Japlan Nova” + round of yuzu fizzes.
Eikan-dō & Kōdai-ji illumination tickets,Experiences,2025-11-29,Kyoto,Night Illumination,"¥8,000",A$76.19,Online,To Book,Day 16,Includes combo ticket for Entoku-in.
Foodie highlights fund (markets & street eats),Food & Drink,2025-11-15,Osaka/Kyoto/Tokyo,Daily Meals,"¥60,000",A$571.43,Cash/IC,Budget,Days 2-16,"Kuromon, Nishiki, Tsukiji outer market, Harajuku snacks."
Gifts & birthday décor budget,Shopping,2025-11-10,Pre-trip,Supplies,"¥45,000",A$428.57,Credit Card,In Progress,"Days 9, 15","Aussie gifts, confetti kit, custom cake topper, Polaroid film."
Travel insurance (Comprehensive duo),Admin,2025-10-15,Pre-trip,Insurance,"¥28,000",A$266.67,Credit Card,Booked,Trip coverage,"Covers winter sports/onsen, electronics, cancellations."
Connectivity (eSIM + pocket Wi-Fi rental),Tech,2025-11-12,Pre-trip,Data,"¥8,000",A$76.19,Credit Card,To Book,All days,Ubigi 30-day eSIM + Ninja Wi-Fi rental for backup.
