Name,Day,Friends,Description,Group,Notes,Type,URL,Visited
Kuromon Ichiba Market tasting lunch,Day 2,Henry,"13:15-14:30 — Grazing lunch of toro nigiri, charcoal-grilled scallops, and strawberry daifuku while chatting with fishmongers.",Osaka,"5-minute walk to Kuromon. Bring cash for stall snacks; aim for 6-8 bites (~¥3,000 pp). Booking: Optional: pre-book Kuromon tasting tour for insider stalls. With Henry + Nana Budget around £32.43 Pick up fruit gift for Nana’s parents.",Food,https://maps.google.com/?cid=12402117845945925953,No
Kuromon Ichiba Market tasting lunch,Day 2,Nana,"13:15-14:30 — Grazing lunch of toro nigiri, charcoal-grilled scallops, and strawberry daifuku while chatting with fishmongers.",Osaka,"5-minute walk to Kuromon. Bring cash for stall snacks; aim for 6-8 bites (~¥3,000 pp). Booking: Optional: pre-book Kuromon tasting tour for insider stalls. With Henry + Nana Budget around £32.43 Pick up fruit gift for Nana’s parents.",Food,https://maps.google.com/?cid=12402117845945925953,No
Namba Yasaka Shrine guardian photos,Day 2,Osaka,14:45-15:15 — Snap surreal shots in front of the iconic lion-head stage and leave ema wishes for the journey.,Osaka,10-minute stroll from Kuromon via backstreets; best lighting mid-afternoon. Booking: None. With Henry + Nana Budget around £2.70 Collect goshuin stamp for the travel shrine book.,Culture,https://maps.google.com/?cid=9278387310004857503,No
Namba Yasaka Shrine guardian photos,Day 2,Henry,14:45-15:15 — Snap surreal shots in front of the iconic lion-head stage and leave ema wishes for the journey.,Osaka,10-minute stroll from Kuromon via backstreets; best lighting mid-afternoon. Booking: None. With Henry + Nana Budget around £2.70 Collect goshuin stamp for the travel shrine book.,Culture,https://maps.google.com/?cid=9278387310004857503,No
Namba Yasaka Shrine guardian photos,Day 2,Nana,14:45-15:15 — Snap surreal shots in front of the iconic lion-head stage and leave ema wishes for the journey.,Osaka,10-minute stroll from Kuromon via backstreets; best lighting mid-afternoon. Booking: None. With Henry + Nana Budget around £2.70 Collect goshuin stamp for the travel shrine book.,Culture,https://maps.google.com/?cid=9278387310004857503,No
Dōtonbori promenade,Day 2,Osaka,"15:30-16:30 — Ease into the neon with a golden-hour stroll beneath the Glico sign, sampling street snacks and capturing the first couple snaps.",Osaka,Keihan line to Yodoyabashi → Midosuji subway to Namba (30 min). Hit Don Quijote for Suica/ICOCA top-ups and trip mascot souvenirs. Booking: None; aim for 17:00 for dusk reflections. With Henry + Nana Budget around £10.81 Grab taiyaki and take midday photo set.,Neighbourhood Stroll,https://maps.google.com/?cid=16446419638008461065,No
Dōtonbori promenade,Day 2,Henry,"15:30-16:30 — Ease into the neon with a golden-hour stroll beneath the Glico sign, sampling street snacks and capturing the first couple snaps.",Osaka,Keihan line to Yodoyabashi → Midosuji subway to Namba (30 min). Hit Don Quijote for Suica/ICOCA top-ups and trip mascot souvenirs. Booking: None; aim for 17:00 for dusk reflections. With Henry + Nana Budget around £10.81 Grab taiyaki and take midday photo set.,Neighbourhood Stroll,https://maps.google.com/?cid=16446419638008461065,No
Dōtonbori promenade,Day 2,Nana,"15:30-16:30 — Ease into the neon with a golden-hour stroll beneath the Glico sign, sampling street snacks and capturing the first couple snaps.",Osaka,Keihan line to Yodoyabashi → Midosuji subway to Namba (30 min). Hit Don Quijote for Suica/ICOCA top-ups and trip mascot souvenirs. Booking: None; aim for 17:00 for dusk reflections. With Henry + Nana Budget around £10.81 Grab taiyaki and take midday photo set.,Neighbourhood Stroll,https://maps.google.com/?cid=16446419638008461065,No
Tonbori River Cruise,Day 2,Osaka,17:00-17:30 — Sail past Osaka’s LED canyon; perfect for first-night wow shots and a quick rest for jet-lagged feet.,Osaka,"Board at Tazaemon-bashi Dock. Arrive 15 minutes early to swap QR voucher for tickets. Booking: Reserve online (¥1,200 pp); choose front-row seats for unobstructed photos. With Henry + Nana Budget around £12.97 Opt for sunset golden light.",Experience,https://maps.google.com/?cid=11944000788392540382,No
Tonbori River Cruise,Day 2,Henry,17:00-17:30 — Sail past Osaka’s LED canyon; perfect for first-night wow shots and a quick rest for jet-lagged feet.,Osaka,"Board at Tazaemon-bashi Dock. Arrive 15 minutes early to swap QR voucher for tickets. Booking: Reserve online (¥1,200 pp); choose front-row seats for unobstructed photos. With Henry + Nana Budget around £12.97 Opt for sunset golden light.",Experience,https://maps.google.com/?cid=11944000788392540382,No
Tonbori River Cruise,Day 2,Nana,17:00-17:30 — Sail past Osaka’s LED canyon; perfect for first-night wow shots and a quick rest for jet-lagged feet.,Osaka,"Board at Tazaemon-bashi Dock. Arrive 15 minutes early to swap QR voucher for tickets. Booking: Reserve online (¥1,200 pp); choose front-row seats for unobstructed photos. With Henry + Nana Budget around £12.97 Opt for sunset golden light.",Experience,https://maps.google.com/?cid=11944000788392540382,No
Mizuno Okonomiyaki,Day 2,Osaka,"18:00-19:15 — Celebrate night one with caramelised okonomiyaki on a teppan counter, pairing yuzu highballs with the flagship yam batter.",Osaka,"Queue likely ~30 minutes; add name at 18:30 then explore Hozenji Yokocho until called. Order “Yamaimo-yaki” and seasonal special. Booking: No reservations; cash-focused (¥2,500 pp). With Henry + Nana Budget around £27.03 Request English menu for limited-time toppings.",Food,https://maps.google.com/?cid=14993068628475195202,No
Mizuno Okonomiyaki,Day 2,Henry,"18:00-19:15 — Celebrate night one with caramelised okonomiyaki on a teppan counter, pairing yuzu highballs with the flagship yam batter.",Osaka,"Queue likely ~30 minutes; add name at 18:30 then explore Hozenji Yokocho until called. Order “Yamaimo-yaki” and seasonal special. Booking: No reservations; cash-focused (¥2,500 pp). With Henry + Nana Budget around £27.03 Request English menu for limited-time toppings.",Food,https://maps.google.com/?cid=14993068628475195202,No
Mizuno Okonomiyaki,Day 2,Nana,"18:00-19:15 — Celebrate night one with caramelised okonomiyaki on a teppan counter, pairing yuzu highballs with the flagship yam batter.",Osaka,"Queue likely ~30 minutes; add name at 18:30 then explore Hozenji Yokocho until called. Order “Yamaimo-yaki” and seasonal special. Booking: No reservations; cash-focused (¥2,500 pp). With Henry + Nana Budget around £27.03 Request English menu for limited-time toppings.",Food,https://maps.google.com/?cid=14993068628475195202,No
Hozenji Yokocho lantern walk,Day 2,Osaka,"19:30-20:00 — Wind down along the mossy alley, wash the Fudō-myōō statue for blessings, and grab warabi-mochi to-go for the train ride home.",Osaka,2-minute walk from Mizuno. Keihan trains run until after midnight back to Moriguchishi (last rapid ~23:50). Booking: None. With Henry + Nana Budget around £6.49 Collect omamori for safe travels + relationship luck.,Night Stroll,https://maps.google.com/?cid=1940503935653472466,No
Hozenji Yokocho lantern walk,Day 2,Henry,"19:30-20:00 — Wind down along the mossy alley, wash the Fudō-myōō statue for blessings, and grab warabi-mochi to-go for the train ride home.",Osaka,2-minute walk from Mizuno. Keihan trains run until after midnight back to Moriguchishi (last rapid ~23:50). Booking: None. With Henry + Nana Budget around £6.49 Collect omamori for safe travels + relationship luck.,Night Stroll,https://maps.google.com/?cid=1940503935653472466,No
Hozenji Yokocho lantern walk,Day 2,Nana,"19:30-20:00 — Wind down along the mossy alley, wash the Fudō-myōō statue for blessings, and grab warabi-mochi to-go for the train ride home.",Osaka,2-minute walk from Mizuno. Keihan trains run until after midnight back to Moriguchishi (last rapid ~23:50). Booking: None. With Henry + Nana Budget around £6.49 Collect omamori for safe travels + relationship luck.,Night Stroll,https://maps.google.com/?cid=1940503935653472466,No
teamLab Botanical Garden Osaka,Day 2,Osaka,"21:00-22:30 — Nighttime digital art woven through Nagai Botanical Garden—glowing eggs, mirrored ponds, and luminous bamboo groves.",Osaka,"Subway Midosuji Line to Nagai (20 min from Shinsaibashi). Allow 90 minutes to wander loops; bring lightweight tripod alternative. Booking: Secure 18:00 entry slot (¥1,800 pp) through teamLab website two months ahead. With Henry + Nana Budget around £19.46 Late slot keeps night flexible; pack tripod alternative.",Immersive Art,https://maps.google.com/?cid=4949594704093356283,No
teamLab Botanical Garden Osaka,Day 2,Henry,"21:00-22:30 — Nighttime digital art woven through Nagai Botanical Garden—glowing eggs, mirrored ponds, and luminous bamboo groves.",Osaka,"Subway Midosuji Line to Nagai (20 min from Shinsaibashi). Allow 90 minutes to wander loops; bring lightweight tripod alternative. Booking: Secure 18:00 entry slot (¥1,800 pp) through teamLab website two months ahead. With Henry + Nana Budget around £19.46 Late slot keeps night flexible; pack tripod alternative.",Immersive Art,https://maps.google.com/?cid=4949594704093356283,No
teamLab Botanical Garden Osaka,Day 2,Nana,"21:00-22:30 — Nighttime digital art woven through Nagai Botanical Garden—glowing eggs, mirrored ponds, and luminous bamboo groves.",Osaka,"Subway Midosuji Line to Nagai (20 min from Shinsaibashi). Allow 90 minutes to wander loops; bring lightweight tripod alternative. Booking: Secure 18:00 entry slot (¥1,800 pp) through teamLab website two months ahead. With Henry + Nana Budget around £19.46 Late slot keeps night flexible; pack tripod alternative.",Immersive Art,https://maps.google.com/?cid=4949594704093356283,No
Osaka Castle Park sunrise stroll,Day 3,Phil,"07:30-09:00 — Catch morning light over Nishinomaru Garden, then head up the keep for historical exhibits.",Osaka Castle,"Keihan line to Temmabashi, walk 10 minutes via OAP. Arrive before tour buses. Booking: Reserve skip-the-line tickets via Klook to avoid queues. With Henry + Nana Budget around £8.65 Collect commemorative goshuin; scout photo spots for Nicole & Ken later.",Culture,https://maps.google.com/?cid=1081374622389182017,No
Osaka Castle Park sunrise stroll,Day 3,Henry,"07:30-09:00 — Catch morning light over Nishinomaru Garden, then head up the keep for historical exhibits.",Osaka Castle,"Keihan line to Temmabashi, walk 10 minutes via OAP. Arrive before tour buses. Booking: Reserve skip-the-line tickets via Klook to avoid queues. With Henry + Nana Budget around £8.65 Collect commemorative goshuin; scout photo spots for Nicole & Ken later.",Culture,https://maps.google.com/?cid=1081374622389182017,No
Osaka Castle Park sunrise stroll,Day 3,Nana,"07:30-09:00 — Catch morning light over Nishinomaru Garden, then head up the keep for historical exhibits.",Osaka Castle,"Keihan line to Temmabashi, walk 10 minutes via OAP. Arrive before tour buses. Booking: Reserve skip-the-line tickets via Klook to avoid queues. With Henry + Nana Budget around £8.65 Collect commemorative goshuin; scout photo spots for Nicole & Ken later.",Culture,https://maps.google.com/?cid=1081374622389182017,No
Sakaisuji Honmachi brunch at & COFFEE MAISON,Day 3,Phil,09:30-10:30 — Refuel with soufflé pancakes and seasonal fruit sodas before heading north.,Osaka Kita,Walk 12 minutes from Osaka Castle Park; arrive when doors open to skip queues. Booking: Book online waiting list if visiting peak Sunday. With Henry + Nana Budget around £16.22 Order matcha latte for Nana; grab pastry for later shinkansen snacks.,Food,https://maps.google.com/?cid=17824513151163237395,No
Sakaisuji Honmachi brunch at & COFFEE MAISON,Day 3,Henry,09:30-10:30 — Refuel with soufflé pancakes and seasonal fruit sodas before heading north.,Osaka Kita,Walk 12 minutes from Osaka Castle Park; arrive when doors open to skip queues. Booking: Book online waiting list if visiting peak Sunday. With Henry + Nana Budget around £16.22 Order matcha latte for Nana; grab pastry for later shinkansen snacks.,Food,https://maps.google.com/?cid=17824513151163237395,No
Sakaisuji Honmachi brunch at & COFFEE MAISON,Day 3,Nana,09:30-10:30 — Refuel with soufflé pancakes and seasonal fruit sodas before heading north.,Osaka Kita,Walk 12 minutes from Osaka Castle Park; arrive when doors open to skip queues. Booking: Book online waiting list if visiting peak Sunday. With Henry + Nana Budget around £16.22 Order matcha latte for Nana; grab pastry for later shinkansen snacks.,Food,https://maps.google.com/?cid=17824513151163237395,No
Osaka Museum of Housing and Living,Day 3,Phil,11:00-12:30 — Wander Edo-period Osaka streets recreated indoors—rent yukata for photos and learn urban history.,Osaka,Subway to Tenjinbashisuji 6-chome; lockers available for bags. Entry ¥600. Booking: Reserve time slot online (English site) to skip queue. With Henry + Nana Budget around £10.81 Rent kimono briefly for castle-to-city contrast photos.,Culture,https://maps.google.com/?cid=10674462834411964257,No
Osaka Museum of Housing and Living,Day 3,Henry,11:00-12:30 — Wander Edo-period Osaka streets recreated indoors—rent yukata for photos and learn urban history.,Osaka,Subway to Tenjinbashisuji 6-chome; lockers available for bags. Entry ¥600. Booking: Reserve time slot online (English site) to skip queue. With Henry + Nana Budget around £10.81 Rent kimono briefly for castle-to-city contrast photos.,Culture,https://maps.google.com/?cid=10674462834411964257,No
Osaka Museum of Housing and Living,Day 3,Nana,11:00-12:30 — Wander Edo-period Osaka streets recreated indoors—rent yukata for photos and learn urban history.,Osaka,Subway to Tenjinbashisuji 6-chome; lockers available for bags. Entry ¥600. Booking: Reserve time slot online (English site) to skip queue. With Henry + Nana Budget around £10.81 Rent kimono briefly for castle-to-city contrast photos.,Culture,https://maps.google.com/?cid=10674462834411964257,No
Takamura Wine & Coffee cupping flight,Day 3,Phil,12:45-14:00 — Celebrate the journey with artisanal coffee cupping and light brunch in a lofted roastery.,Osaka,Taxi from W Osaka (10 min). Reserve tasting flight with seasonal beans. Booking: Book cupping session for two; pick up beans for home brewing. With Henry + Nana + Nicole + Ken Budget around £43.24 Book cupping flight; pick up natural wine gift.,Food,https://maps.google.com/?cid=18436798584987103295,No
Takamura Wine & Coffee cupping flight,Day 3,Henry,12:45-14:00 — Celebrate the journey with artisanal coffee cupping and light brunch in a lofted roastery.,Osaka,Taxi from W Osaka (10 min). Reserve tasting flight with seasonal beans. Booking: Book cupping session for two; pick up beans for home brewing. With Henry + Nana + Nicole + Ken Budget around £43.24 Book cupping flight; pick up natural wine gift.,Food,https://maps.google.com/?cid=18436798584987103295,No
Takamura Wine & Coffee cupping flight,Day 3,Nana,12:45-14:00 — Celebrate the journey with artisanal coffee cupping and light brunch in a lofted roastery.,Osaka,Taxi from W Osaka (10 min). Reserve tasting flight with seasonal beans. Booking: Book cupping session for two; pick up beans for home brewing. With Henry + Nana + Nicole + Ken Budget around £43.24 Book cupping flight; pick up natural wine gift.,Food,https://maps.google.com/?cid=18436798584987103295,No
Grand Front Osaka depachika safari,Day 3,Phil,"14:15-15:30 — Sample patisserie, sake, and wagashi in Umekita Cellar while curating birthday dessert table.",Umeda,Walk from Takamura via Umeda Sky walkway; use lockers for purchases. Booking: None; consider Takashimaya card for discounts. With Henry + Nana Budget around £32.43 Grab PABLO mini cheesecakes for hotel snack stash.,Shopping,https://maps.google.com/?cid=10730928324569822745,No
Grand Front Osaka depachika safari,Day 3,Henry,"14:15-15:30 — Sample patisserie, sake, and wagashi in Umekita Cellar while curating birthday dessert table.",Umeda,Walk from Takamura via Umeda Sky walkway; use lockers for purchases. Booking: None; consider Takashimaya card for discounts. With Henry + Nana Budget around £32.43 Grab PABLO mini cheesecakes for hotel snack stash.,Shopping,https://maps.google.com/?cid=10730928324569822745,No
Grand Front Osaka depachika safari,Day 3,Nana,"14:15-15:30 — Sample patisserie, sake, and wagashi in Umekita Cellar while curating birthday dessert table.",Umeda,Walk from Takamura via Umeda Sky walkway; use lockers for purchases. Booking: None; consider Takashimaya card for discounts. With Henry + Nana Budget around £32.43 Grab PABLO mini cheesecakes for hotel snack stash.,Shopping,https://maps.google.com/?cid=10730928324569822745,No
HEP FIVE Ferris Wheel sky spin,Day 3,Phil,16:00-16:45 — Enjoy crimson gondola views sweeping over Osaka before dusk.,Umeda,Ride from HEP FIVE 7F; use Amazing Pass if purchased. Booking: No booking; aim pre-sunset for short queue. With Henry + Nana Budget around £5.41 Snap timelapse for Japlan vlog intro.,Attractions,https://maps.google.com/?cid=12356348084046776944,No
HEP FIVE Ferris Wheel sky spin,Day 3,Henry,16:00-16:45 — Enjoy crimson gondola views sweeping over Osaka before dusk.,Umeda,Ride from HEP FIVE 7F; use Amazing Pass if purchased. Booking: No booking; aim pre-sunset for short queue. With Henry + Nana Budget around £5.41 Snap timelapse for Japlan vlog intro.,Attractions,https://maps.google.com/?cid=12356348084046776944,No
HEP FIVE Ferris Wheel sky spin,Day 3,Nana,16:00-16:45 — Enjoy crimson gondola views sweeping over Osaka before dusk.,Umeda,Ride from HEP FIVE 7F; use Amazing Pass if purchased. Booking: No booking; aim pre-sunset for short queue. With Henry + Nana Budget around £5.41 Snap timelapse for Japlan vlog intro.,Attractions,https://maps.google.com/?cid=12356348084046776944,No
Umeda Sky Building sunset cocktails,Day 3,Phil,17:15-19:00 — Toast with sky-high cocktails as Osaka transitions from gold to neon at the Floating Garden Observatory.,Osaka,"JR Loop to Osaka Station; elevator + escalator to 39F. Entry ¥1,500 pp; bar menu extra. Booking: Pre-book sunset slot; bring smartphone gimbal for skyline shots. With Henry + Nana Budget around £32.43 Invite Osaka-based friends for golden hour cheers.",Viewpoint,https://maps.google.com/?cid=6323866581023509245,No
Umeda Sky Building sunset cocktails,Day 3,Henry,17:15-19:00 — Toast with sky-high cocktails as Osaka transitions from gold to neon at the Floating Garden Observatory.,Osaka,"JR Loop to Osaka Station; elevator + escalator to 39F. Entry ¥1,500 pp; bar menu extra. Booking: Pre-book sunset slot; bring smartphone gimbal for skyline shots. With Henry + Nana Budget around £32.43 Invite Osaka-based friends for golden hour cheers.",Viewpoint,https://maps.google.com/?cid=6323866581023509245,No
Umeda Sky Building sunset cocktails,Day 3,Nana,17:15-19:00 — Toast with sky-high cocktails as Osaka transitions from gold to neon at the Floating Garden Observatory.,Osaka,"JR Loop to Osaka Station; elevator + escalator to 39F. Entry ¥1,500 pp; bar menu extra. Booking: Pre-book sunset slot; bring smartphone gimbal for skyline shots. With Henry + Nana Budget around £32.43 Invite Osaka-based friends for golden hour cheers.",Viewpoint,https://maps.google.com/?cid=6323866581023509245,No
Nakazakicho twilight ramen at Human Beings Everybody Noodles,Day 3,Phil,19:15-20:30 — Slurp creative ramen bowls in the indie Nakazakicho district after skyline views.,Osaka Kita,8-minute walk from Umeda Sky; tiny shop so queue expected ~20 minutes. Booking: No reservations; add name to list and explore vintage shops while waiting. With Henry + Nana Budget around £13.51 Order yuzu shio ramen for lighter finish before Monday adventure.,Food,https://maps.google.com/?cid=6418836266917594457,No
Nakazakicho twilight ramen at Human Beings Everybody Noodles,Day 3,Henry,19:15-20:30 — Slurp creative ramen bowls in the indie Nakazakicho district after skyline views.,Osaka Kita,8-minute walk from Umeda Sky; tiny shop so queue expected ~20 minutes. Booking: No reservations; add name to list and explore vintage shops while waiting. With Henry + Nana Budget around £13.51 Order yuzu shio ramen for lighter finish before Monday adventure.,Food,https://maps.google.com/?cid=6418836266917594457,No
Nakazakicho twilight ramen at Human Beings Everybody Noodles,Day 3,Nana,19:15-20:30 — Slurp creative ramen bowls in the indie Nakazakicho district after skyline views.,Osaka Kita,8-minute walk from Umeda Sky; tiny shop so queue expected ~20 minutes. Booking: No reservations; add name to list and explore vintage shops while waiting. With Henry + Nana Budget around £13.51 Order yuzu shio ramen for lighter finish before Monday adventure.,Food,https://maps.google.com/?cid=6418836266917594457,No
Arashiyama Bamboo Grove,Day 4,Henry,"06:30-07:30 — Catch the bamboo groves before crowds arrive, capturing misty light beams and atmospheric morning sounds.",Kyoto,Keihan to Demachiyanagi → Hankyu to Arashiyama (~60 min). Ride first Hankyu departure 05:30 to arrive pre-dawn. Booking: None; pack tripod and optional kimono rental from 8:00 onwards. With Henry + Nana Consider hiring local photographer for 07:00 mini-shoot.,Nature,https://maps.google.com/?cid=18131488233213033693,No
Arashiyama Bamboo Grove,Day 4,Nana,"06:30-07:30 — Catch the bamboo groves before crowds arrive, capturing misty light beams and atmospheric morning sounds.",Kyoto,Keihan to Demachiyanagi → Hankyu to Arashiyama (~60 min). Ride first Hankyu departure 05:30 to arrive pre-dawn. Booking: None; pack tripod and optional kimono rental from 8:00 onwards. With Henry + Nana Consider hiring local photographer for 07:00 mini-shoot.,Nature,https://maps.google.com/?cid=18131488233213033693,No
Tenryu-ji Temple & Sogenchi Garden,Day 4,Henry,"07:45-09:00 — Explore UNESCO Zen gardens glowing with momiji, and sip matcha overlooking the koi pond.",Kyoto,Entrance ¥500 + ¥300 for garden. Use north gate to exit directly into bamboo grove. Booking: Reserve shojin-ryori breakfast at Shigetsu for 8:00 seating if desired. With Henry + Nana Budget around £8.65 Check foliage reports for peak colour adjustments.,Culture,https://maps.google.com/?cid=14815785984447432896,No
Tenryu-ji Temple & Sogenchi Garden,Day 4,Nana,"07:45-09:00 — Explore UNESCO Zen gardens glowing with momiji, and sip matcha overlooking the koi pond.",Kyoto,Entrance ¥500 + ¥300 for garden. Use north gate to exit directly into bamboo grove. Booking: Reserve shojin-ryori breakfast at Shigetsu for 8:00 seating if desired. With Henry + Nana Budget around £8.65 Check foliage reports for peak colour adjustments.,Culture,https://maps.google.com/?cid=14815785984447432896,No
Riverside soba at Arashiyama Yoshimura,Day 4,Henry,10:45-11:45 — Warm up with handmade soba and tempura while overlooking Togetsukyo Bridge from tatami seating.,Kyoto,"Add name to queue by 10:30; ask for second-floor window seat. Average spend ¥2,000 pp. Booking: No reservations; request English menu for seasonal soba. With Henry + Nana Budget around £21.62 Order yuba sashimi sampler to share.",Food,https://maps.google.com/?cid=14941654592724285625,No
Riverside soba at Arashiyama Yoshimura,Day 4,Nana,10:45-11:45 — Warm up with handmade soba and tempura while overlooking Togetsukyo Bridge from tatami seating.,Kyoto,"Add name to queue by 10:30; ask for second-floor window seat. Average spend ¥2,000 pp. Booking: No reservations; request English menu for seasonal soba. With Henry + Nana Budget around £21.62 Order yuba sashimi sampler to share.",Food,https://maps.google.com/?cid=14941654592724285625,No
Kimono Forest at Randen Arashiyama,Day 4,Henry,12:00-12:20 — Wander through 600 illuminated kimono poles—perfect midday photo op before heading south.,Kyoto,Free entry beside Randen tram station. Capture boomerang videos under the sky projection well. Booking: None. With Henry + Nana Pick favourite pattern for future custom yukata order.,Photo Spot,https://maps.google.com/?cid=14328627673236365801,No
